strategy,sl,tp,min_liquidity_m,max_positions,threshold,dynamic_sizing,return_pct,win_rate,max_drawdown,sharpe,total_trades,score
T1_top5,2,4,0.0,5,0.58,True,2102.96,71.3,-15.29,10.41,115,1472.9756660527935
T1_top5,2,4,0.0,5,0.55,True,2102.96,71.3,-15.29,10.41,115,1472.9756660527935
T1_top5,2,4,0.0,5,0.6,True,2102.96,71.3,-15.29,10.41,115,1472.9756660527935
T3_top5,3,6,0.0,5,0.58,False,571.76,65.0,-4.26,12.35,280,1451.1399239543728
T3_top5,7,14,0.0,3,0.0,False,1287.87,68.64,-10.02,11.41,118,1450.3145825771323
T3_top5,7,14,0.0,3,0.55,False,1096.17,67.27,-8.02,10.89,110,1444.951363636364
T3_top5,5,10,0.0,3,0.6,False,1230.79,65.49,-10.16,12.04,113,1438.1273835125446
T1_blended_top5,0,0,0.0,1,0.0,True,3449.92,81.82,-24.82,9.68,77,1427.0002168861347
T1_blended_top5,0,0,0.0,1,0.55,True,3449.92,81.82,-24.82,9.68,77,1427.0002168861347
T1_blended_top5,0,0,0.0,1,0.55,False,3449.92,81.82,-24.82,9.68,77,1427.0002168861347
T1_blended_top5,0,0,0.0,1,0.0,False,3449.92,81.82,-24.82,9.68,77,1427.0002168861347
T1_blended_top5,7,14,0.0,1,0.55,False,3397.3,79.22,-25.19,9.99,77,1425.5947689958
T1_blended_top5,7,14,0.0,1,0.0,False,3397.3,79.22,-25.19,9.99,77,1425.5947689958
T1_blended_top5,7,14,0.0,1,0.55,True,3397.3,79.22,-25.19,9.99,77,1425.5947689958
T1_blended_top5,7,14,0.0,1,0.0,True,3397.3,79.22,-25.19,9.99,77,1425.5947689958
T1_blended_top5,3,6,0.0,3,0.6,False,1069.28,63.73,-8.43,11.23,204,1386.7756521739132
T1_blended_top5,0,0,0.0,3,0.58,True,3367.22,81.0,-25.49,9.9,100,1385.5303133257833
T1_blended_top5,5,10,0.0,5,0.6,True,2400.06,72.88,-18.55,10.12,118,1365.1492173913043
T3_top5,3,6,0.0,3,0.0,False,890.99,64.84,-7.1,11.25,182,1347.4848765432098
T3_top5,5,10,0.0,3,0.58,False,1158.71,64.91,-10.07,11.73,114,1332.4641644083108
T3_top5,2,4,0.0,5,0.0,False,636.86,62.73,-5.85,12.64,322,1268.1416642335769
T1_blended_top5,7,14,0.0,1,0.58,True,3079.36,78.95,-25.19,9.76,76,1265.1360672012217
T1_blended_top5,7,14,0.0,1,0.58,False,3079.36,78.95,-25.19,9.76,76,1265.1360672012217
T3_top5,3,6,0.0,3,0.55,False,843.11,64.97,-7.13,11.19,177,1264.146482164822
T1_blended_top5,5,10,0.0,3,0.55,False,1345.92,64.56,-12.65,11.76,237,1258.164043956044
T1_blended_top5,5,10,0.0,3,0.0,False,1345.92,64.56,-12.65,11.76,237,1258.164043956044
T3_top5,2,4,0.0,3,0.0,False,950.04,64.97,-8.66,11.59,197,1238.1991304347825
T1_blended_top5,0,0,0.0,1,0.58,False,3127.2,81.58,-25.49,9.45,76,1233.6443941109853
T1_blended_top5,0,0,0.0,1,0.58,True,3127.2,81.58,-25.49,9.45,76,1233.6443941109853
T3_top5,3,6,0.0,5,0.55,False,573.85,65.02,-5.21,12.35,283,1233.638888888889
T1_blended_top5,0,0,0.0,3,0.6,True,3058.69,80.81,-25.49,9.68,99,1233.1751302378257
T3_top5,3,6,0.0,3,0.58,False,848.21,65.7,-7.46,11.24,172,1227.1974468085107
T3_top5,5,10,0.0,5,0.0,False,857.92,62.91,-9.05,13.08,213,1201.9416517412933
T3_top5,3,6,0.0,3,0.6,False,827.83,65.68,-7.46,11.21,169,1194.7759219858158
T1_top5,7,14,0.0,3,0.0,False,1186.44,66.38,-10.69,10.72,232,1189.484756201882
T1_top5,7,14,0.0,3,0.55,False,1186.44,66.38,-10.69,10.72,232,1189.484756201882
T1_blended_top5,7,14,0.0,3,0.55,True,2875.18,75.25,-25.19,9.77,101,1182.3477892325313
T1_blended_top5,7,14,0.0,3,0.0,True,2875.18,75.25,-25.19,9.77,101,1182.3477892325313
T3_top5,2,4,0.0,5,0.55,False,607.08,64.26,-5.98,12.57,305,1180.2400573065902
T1_top5,7,14,0.0,3,0.58,False,1171.31,66.52,-10.7,10.66,230,1167.3055213675214
T1_top5,7,14,0.0,3,0.6,False,1171.31,66.52,-10.7,10.66,230,1167.3055213675214
T3_top5,7,14,0.0,3,0.6,False,986.03,66.67,-8.9,10.65,105,1160.3282323232324
T3_top5,2,4,0.0,3,0.58,False,896.3,66.49,-8.79,11.59,185,1152.6472931562819
T3_top5,2,4,0.0,3,0.6,False,889.93,66.85,-8.79,11.66,181,1150.8185699693565
T1_blended_top5,5,10,0.0,3,0.58,False,1218.79,64.38,-12.33,11.37,233,1131.0151762940734
T1_blended_top5,7,14,0.0,1,0.6,False,2796.45,78.67,-25.19,9.53,75,1124.3458762886596
T1_blended_top5,7,14,0.0,1,0.6,True,2796.45,78.67,-25.19,9.53,75,1124.3458762886596
T1_blended_top5,0,0,0.0,1,0.6,False,2840.04,81.33,-25.49,9.23,75,1096.7764892412233
T1_blended_top5,0,0,0.0,1,0.6,True,2840.04,81.33,-25.49,9.23,75,1096.7764892412233
T1_blended_top5,3,6,0.0,5,0.55,False,809.09,60.0,-9.11,12.68,400,1094.792403560831
T1_top5,3,6,0.0,5,0.0,True,1911.66,71.3,-17.86,9.8,115,1094.6939554612939
T1_top5,3,6,0.0,5,0.55,True,1911.66,71.3,-17.86,9.8,115,1094.6939554612939
T1_top5,3,6,0.0,5,0.58,True,1911.66,71.3,-17.86,9.8,115,1094.6939554612939
T1_top5,3,6,0.0,5,0.6,True,1911.66,71.3,-17.86,9.8,115,1094.6939554612939
T1_blended_top5,3,6,0.0,5,0.0,False,803.67,59.85,-9.11,12.63,401,1083.4838872403561
T3_top5,7,14,0.0,5,0.58,False,677.29,64.21,-7.08,11.8,190,1072.9346534653466
T1_blended_top5,2,4,0.0,5,0.55,False,800.36,58.5,-9.58,12.93,400,1053.7821172022684
T1_blended_top5,7,14,0.0,3,0.58,True,2604.71,75.0,-25.19,9.54,100,1048.2490798014508
